MATRICULA   NOMBRE         APPAT         APMAT          EDAD 	 		 SEXO  
303526      ANTONIO           OROZCO       BUSTAMANTE   23   	 MASCULINO
307669      ROSARIO           DIARTE       COLOMO       51   	 FEMENINO
308607      JAVIER            ORTIZ        DIAZ         69   	 MASCULINO
310038      MELISSA           REYES        REYES        57   	 FEMENINO
312029      MELISSA           PEREZ        SILVA        55   	 FEMENINO
314328      MIGUEL            GONZALEZ     MEDINA       77   	 MASCULINO
321967      ALFREDO           TORRES       BUENO        76   	 MASCULINO
325709      ANGEL             MARTINEZ     SILVA        57   	 MASCULINO
330807      TRINIDAD          GONZALEZ     ANDA         33   	 FEMENINO
328692      EDGAR             RABAGO       MEDINA       38   	 MASCULINO
332628      ARMANDO           TORRES       BUSTAMANTE   27   	 MASCULINO
314695      DANNA             DIARTE       DIARTE       37   	 FEMENINO
322737      ISABEL            JAUREGUI     VILLEGAS     18   	 FEMENINO
315440      JAZMIN            MARTINEZ     CORONADO0    5    	 FEMENINO
313319      JAVIER            BUENO        PACHECO      39   	 MASCULINO
307455      ISRAEL            ANDA         OCTAVIANO    37   	 MASCULINO
319058      LIZETH            COLOMO       OROZCO       67   	 FEMENINO
301522      RODRIGO           BUSTAMANTE   ANDA         27   	 MASCULINO
319657      TRINIDAD          GUZMAN       JAUREGUI     80   	 FEMENINO
